"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","0.71","0.93","1.17","1.44","0.37","0.41","1.91*","1.93","1.65*","1.75","1.09","1.15"
"2","1.49**","2.38","1.37**","2.16","1.42","1.65","2.67**","2.32","2.63***","2.95","3.28**","2.6"
"3","0.78**","2.28","0.2","0.52","1.05**","2.35","0.76*","1.89","0.98***","6.2","2.18***","3.68"
"4","-0.07","-0.61","0.04","0.48","-0.01","-0.03","0.64***","2.88","0.82***","11.91","0.72***","4.53"
