"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","2.26**","2.44","1.91**","2.07","1.51*","1.89","2.08**","2.02","1.63","1.63","1.28","1.26"
"2","3.88***","3.28","4.53***","2.83","2.76***","3.5","3.91***","2.73","2.89***","2.81","3.08**","2.57"
"3","1.63***","4.23","2.63**","2.58","1.24***","3.5","1.83***","3.89","1.26***","3.17","1.81***","3.87"
"4","1.73***","9.65","1.21***","5.07","0.6***","4.04","1.23***","8.04","0.65***","8.09","0.49***","2.73"
