"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","2.98***","2.65","0.74","0.72","0.29","0.48","3.57***","3.07","0.78","0.74","0.36","0.49"
"2","5.04***","2.9","1.69*","1.87","1.62**","2.28","6***","2.95","1.7*","1.85","2.06","1.65"
"3","2.06**","2.52","0.94***","3.46","1.33***","3.28","2.44**","2.23","0.92***","3.61","1.7**","2.26"
"4","2.09***","10","-0.12***","-2.62","-0.1","-1.39","2.64***","9.83","-0.13***","-3.19","-0.03","-0.29"
