Stkcd,Trddt,INST,Trdmnt,Year,Month
6,2010-03-31,30.316,2010-03,2010,3
6,2010-06-30,27.941,2010-06,2010,6
6,2010-09-30,40.734001,2010-09,2010,9
6,2010-12-31,40.505299,2010-12,2010,12
6,2011-03-31,40.486,2011-03,2011,3
6,2011-06-30,44.118198,2011-06,2011,6
6,2011-09-30,40.789001,2011-09,2011,9
6,2011-12-31,43.5546,2011-12,2011,12
6,2012-03-31,44.845001,2012-03,2012,3
6,2012-06-30,52.446999,2012-06,2012,6
6,2012-09-30,47.169998,2012-09,2012,9
6,2012-12-31,51.892399,2012-12,2012,12
6,2013-03-31,47.189999,2013-03,2013,3
6,2013-06-30,50.7019,2013-06,2013,6
6,2013-09-30,47.577,2013-09,2013,9
6,2013-12-31,58.016701,2013-12,2013,12
6,2014-03-31,47.288101,2014-03,2014,3
6,2014-06-30,53.691799,2014-06,2014,6
6,2014-09-30,48.081402,2014-09,2014,9
6,2014-12-31,36.8564,2014-12,2014,12
6,2015-03-31,36.038601,2015-03,2015,3
6,2015-06-30,38.518002,2015-06,2015,6
6,2015-09-30,44.966999,2015-09,2015,9
6,2015-12-31,42.174301,2015-12,2015,12
6,2016-03-31,39.619999,2016-03,2016,3
6,2016-06-30,42.435001,2016-06,2016,6
6,2016-09-30,40.338799,2016-09,2016,9
6,2016-12-31,40.691502,2016-12,2016,12
6,2017-03-31,39.330002,2017-03,2017,3
6,2017-06-30,41.7981,2017-06,2017,6
6,2017-09-30,41.528702,2017-09,2017,9
6,2018-06-30,41.2528,2018-06,2018,6
6,2018-09-30,39.209999,2018-09,2018,9
6,2018-12-31,42.5415,2018-12,2018,12
6,2019-03-31,42.119999,2019-03,2019,3
6,2019-06-30,43.761398,2019-06,2019,6
6,2019-09-30,41.400002,2019-09,2019,9
6,2019-12-31,44.254902,2019-12,2019,12
7,2012-03-31,20.839001,2012-03,2012,3
7,2012-06-30,25.7526,2012-06,2012,6
7,2012-09-30,23.183001,2012-09,2012,9
7,2012-12-31,20.9491,2012-12,2012,12
7,2013-03-31,22.886,2013-03,2013,3
7,2013-06-30,22.393,2013-06,2013,6
7,2013-09-30,24.99,2013-09,2013,9
7,2013-12-31,25.83,2013-12,2013,12
7,2014-03-31,25.24,2014-03,2014,3
7,2014-09-30,26.4,2014-09,2014,9
7,2017-09-30,31.889999,2017-09,2017,9
7,2018-12-31,36.549999,2018-12,2018,12
8,2013-03-31,66.330002,2013-03,2013,3
8,2013-06-30,66.25,2013-06,2013,6
8,2013-09-30,66.230003,2013-09,2013,9
8,2013-12-31,66.230003,2013-12,2013,12
8,2014-03-31,66.230003,2014-03,2014,3
8,2014-09-30,56.672798,2014-09,2014,9
8,2014-12-31,57.7374,2014-12,2014,12
8,2015-03-31,45.636299,2015-03,2015,3
8,2015-09-30,45.3064,2015-09,2015,9
8,2015-12-31,42.595402,2015-12,2015,12
8,2016-03-31,14.7136,2016-03,2016,3
8,2016-06-30,19.6134,2016-06,2016,6
8,2016-09-30,15.931,2016-09,2016,9
8,2016-12-31,34.121101,2016-12,2016,12
8,2017-03-31,38.0895,2017-03,2017,3
8,2017-06-30,38.683201,2017-06,2017,6
8,2017-09-30,43.174999,2017-09,2017,9
8,2017-12-31,44.806099,2017-12,2017,12
8,2018-03-31,32.0825,2018-03,2018,3
8,2018-06-30,32.629902,2018-06,2018,6
8,2018-09-30,28.625,2018-09,2018,9
8,2018-12-31,45.465401,2018-12,2018,12
8,2019-03-31,41.6558,2019-03,2019,3
8,2019-06-30,43.285099,2019-06,2019,6
8,2019-09-30,39.151501,2019-09,2019,9
8,2019-12-31,43.500599,2019-12,2019,12
9,2009-03-31,15.2408,2009-03,2009,3
9,2009-06-30,64.536797,2009-06,2009,6
9,2009-09-30,30.3104,2009-09,2009,9
9,2009-12-31,51.827599,2009-12,2009,12
9,2010-03-31,28.969101,2010-03,2010,3
9,2010-06-30,63.223499,2010-06,2010,6
9,2010-09-30,53.5065,2010-09,2010,9
9,2010-12-31,54.923698,2010-12,2010,12
